"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0097746","blood vessel diameter maintenance",115,-0.449512369690138,-1.60754608305749,0.000754230635859194,0.0133840360948221,0.0108653152176737,1188,"tags=22%, list=8%, signal=20%","14083/18591/12168/74617/18441/19878/11689/109700/11848/67972/11554/240672/19877/18438/14062/60596/21926/14629/19735/14775/19225/58861/12310/12652/11816"
"GO:0051249","regulation of lymphocyte activation",447,0.429349966914806,1.3593808150041,0.000753219726068296,0.0133840360948221,0.0108653152176737,2477,"tags=31%, list=17%, signal=26%","15978/20555/22163/12367/12511/20304/12477/16852/13024/171285/16768/21942/16153/12487/20737/19260/12721/66824/16643/21940/317757/16854/75345/67245/16818/16362/107823/12507/12142/15040/237256/237877/19264/208650/17101/16195/16797/56532/60533/14357/12501/11540/13482/19354/11461/18761/15354/74734/74015/268564/22637/16019/17131/83408/18566/56436/330817/22324/93675/15902/56048/66494/20850/22042/22628/15510/11534/57765/320795/11774/83796/76747/20371/14991/74131/214763/193385/21938/17319/17973/16176/20227/54215/54698/17874/15944/21838/12524/11920/240754/16452/12010/18950/20535/27218/56456/14312/18457/67050/21950/16859/319817/16190/12042/58194/26992/170823/67122/16408/22034/57757/16423/212123/12479/21946/11501/12144/20926/16453/12151/12400/12399/74256/11486/21423/18861/17974/12122/14102/15505/231130/19255/72057/328572/108723/77777/69769"
"GO:0036215","response to stem cell factor",32,-0.65386972814155,-1.82589389202494,0.000768228582746485,0.0134630866224795,0.010929489349829,2214,"tags=25%, list=15%, signal=21%","14158/26362/13845/18596/22174/16590/16001/19713"
"GO:0036216","cellular response to stem cell factor stimulus",32,-0.65386972814155,-1.82589389202494,0.000768228582746485,0.0134630866224795,0.010929489349829,2214,"tags=25%, list=15%, signal=21%","14158/26362/13845/18596/22174/16590/16001/19713"
"GO:0038109","Kit signaling pathway",32,-0.65386972814155,-1.82589389202494,0.000768228582746485,0.0134630866224795,0.010929489349829,2214,"tags=25%, list=15%, signal=21%","14158/26362/13845/18596/22174/16590/16001/19713"
"GO:0006814","sodium ion transport",134,-0.423986337986462,-1.55930585183244,0.000767271696501843,0.0134630866224795,0.010929489349829,749,"tags=13%, list=5%, signal=12%","14683/20515/21366/18626/20496/18438/20266/18439/17691/20274/14412/105727/17999/16525/11928/20720/11931"
"GO:2001252","positive regulation of chromosome organization",102,0.550254273972348,1.59119134885251,0.000777221159457919,0.0135366018605588,0.0109891698699183,3154,"tags=51%, list=22%, signal=40%","12534/14211/14156/56207/68298/54392/21454/70099/18761/76044/20877/68549/18854/215387/66591/66468/225280/19357/11991/59047/78658/70020/12235/11920/12465/245000/56456/12469/12461/74493/12462/51812/52683/12468/101185/219150/26413/227195/22632/18005/245474/12464/68501/81601/216853/21749/13870/219114/20174/30877/56505/52864"
"GO:0009410","response to xenobiotic stimulus",315,-0.336582628052402,-1.32883923859424,0.000775938091000279,0.0135366018605588,0.0109891698699183,823,"tags=16%, list=6%, signal=15%","17260/18548/11848/13087/56338/67512/14683/320024/12443/19645/56615/56484/13110/15184/16416/107771/14081/12846/22631/18577/13107/17711/12317/12387/27973/21969/17716/18439/80859/16502/12043/21926/18024/12575/14873/14284/14629/11669/19713/14775/19885/19883/19225/11928/17967/17920/14282/17755/16476/14281"
"GO:0002475","antigen processing and presentation via MHC class Ib",21,0.763714769061299,1.73887903832266,0.000789103346698977,0.0136872695831882,0.0111114836688277,2853,"tags=71%, list=20%, signal=57%","15018/15039/15040/21355/110557/15007/15015/11774/14991/15042/12010/14964/12479/77777/14972"
"GO:0007528","neuromuscular junction development",55,-0.551246404980295,-1.71680617336777,0.000795574060479482,0.0136872695831882,0.0111114836688277,1351,"tags=22%, list=9%, signal=20%","13542/18479/19024/83814/13191/14062/19400/105689/20411/56637/17999/11820"
"GO:0050905","neuromuscular process",125,-0.435928914177086,-1.57515556027958,0.000795138981620896,0.0136872695831882,0.0111114836688277,782,"tags=20%, list=5%, signal=19%","110279/27354/100072/13542/53611/235439/15519/14667/12751/19211/50769/226594/13191/12846/15211/105689/14790/21926/18472/18124/15370/11804/22142/19156/11820"
"GO:0043434","response to peptide hormone",399,-0.321739355973206,-1.30483258699348,0.000795353770959712,0.0136872695831882,0.0111114836688277,1209,"tags=17%, list=8%, signal=16%","20779/14083/56017/104215/53322/15242/15107/230796/20383/26569/11938/18759/98415/67389/16011/320528/19878/18746/18548/12162/19211/22228/11610/14683/67972/108155/19645/384783/13631/19055/19877/16416/11789/12226/12846/17711/13685/12387/13654/72674/20411/22724/18227/15387/21926/56637/20384/18024/216233/16590/12488/14629/12215/18124/11839/16001/19713/11747/19225/12227/15370/11472/12192/13653/17755/14281"
"GO:0034103","regulation of tissue remodeling",63,-0.533279585005529,-1.70968911709855,0.00080876037087417,0.0138669353425525,0.011257338409168,1554,"tags=30%, list=11%, signal=27%","110279/12484/237313/234515/20779/16193/19219/16998/19878/23849/19055/19877/16416/22041/69660/18439/21943/13010/100201"
"GO:0046942","carboxylic acid transport",217,-0.376056745933993,-1.44674190426365,0.000810931891377337,0.0138669353425525,0.011257338409168,768,"tags=12%, list=5%, signal=12%","22228/70456/384783/21366/20496/13723/50934/225579/14081/14815/94245/72472/54393/16952/18439/21926/55951/14412/105727/11846/19735/19225/21943/16525/17920/19156/11816"
"GO:0071869","response to catecholamine",37,-0.624332561807486,-1.80537853648328,0.000815115773242749,0.0138963695118092,0.0112812334080218,749,"tags=22%, list=5%, signal=21%","14683/12846/94245/14682/18124/11803/11820/14680"
"GO:0045066","regulatory T cell differentiation",42,0.64432486886716,1.63982034235693,0.000825585588579909,0.0140324683022784,0.0113917199793905,1081,"tags=26%, list=8%, signal=24%","15978/12477/13024/16768/12487/317757/16818/16362/83408/20371/14991"
"GO:0032647","regulation of interferon-alpha production",25,0.726799161979833,1.70589819167274,0.000852425172083807,0.0144451508890959,0.0117267404738699,1744,"tags=52%, list=12%, signal=46%","54123/171285/20846/19260/71586/64685/17472/15510/215243/56480/268857/54131/78781"
"GO:0045986","negative regulation of smooth muscle contraction",14,-0.812521582263442,-1.91135222902531,0.000873899960074862,0.0145469542026621,0.0118093855806421,1334,"tags=50%, list=9%, signal=45%","54598/19219/11554/60596/19735/19225/12310"
"GO:0071174","mitotic spindle checkpoint signaling",51,0.636241607264305,1.66609136426194,0.000863736996769313,0.0145469542026621,0.0118093855806421,2109,"tags=55%, list=15%, signal=47%","11799/52276/229841/67629/76464/16319/75430/107995/268697/67052/66442/18817/12236/20877/66591/66468/56150/70799/12235/11920/70385/66977/69716/30949/12237/235661/52696/26951"
"GO:2000628","regulation of miRNA metabolic process",80,-0.483058941886283,-1.61906538503971,0.000872357081282198,0.0145469542026621,0.0118093855806421,1120,"tags=22%, list=8%, signal=21%","18591/20602/12156/14462/71093/12224/18129/56484/107771/14815/11835/21926/20185/16600/13653/11820/16476/14281"
"GO:0090090","negative regulation of canonical Wnt signaling pathway",99,-0.465296266414339,-1.61054061818866,0.000867294199132302,0.0145469542026621,0.0118093855806421,1563,"tags=31%, list=11%, signal=28%","69601/21888/67020/16348/14734/13132/84035/26416/20682/21886/12006/13726/21885/14368/20668/12550/12156/100503386/14797/56484/11789/12387/50781/56612/56637/93687/20439/100201/13653/11820/11816"
"GO:1901991","negative regulation of mitotic cell cycle phase transition",167,0.491587168774312,1.47442520836881,0.000862338410957265,0.0145469542026621,0.0118093855806421,2115,"tags=37%, list=15%, signal=32%","11799/20555/52276/19891/14056/229841/67629/12534/269582/76464/104418/16319/231600/75430/237256/107995/268697/67141/19650/67052/66442/330177/20184/18817/12236/381921/76843/20877/235559/66591/208768/66468/80280/56150/19357/23834/70799/230809/12189/12235/225182/11920/70385/66977/245000/69716/66209/30949/26992/74268/12237/72611/234736/229543/56453/235661/12450/22390/12649/52696/26951/12144"
"GO:0015980","energy derivation by oxidation of organic compounds",285,-0.339974626990546,-1.35741960069222,0.000873106690401788,0.0145469542026621,0.0118093855806421,1277,"tags=26%, list=9%, signal=24%","17721/66046/56327/27369/66152/11364/68002/66495/227731/70316/18293/56351/54405/110095/12857/57436/57320/67885/76824/12858/17719/67264/17717/11848/14683/70383/12859/110323/14004/16189/66091/384783/66849/22272/595136/11554/20463/104130/12868/66218/12846/66142/17711/68202/66576/269523/67184/244416/67130/17716/20411/12866/17718/66377/217166/12867/21926/56637/66383/66416/12861/67876/67530/12864/68197/17991/68194/17720/66594/18124/78330/17449/103172"
