"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","tissue"
"Ndufb1-ps",0.00274416346359892,-0.653365914416198,1,1,1,"Ndufb1-ps","OM"
"Tcrg-C2",0.00280699388057374,-0.947864997884609,1,1,1,"Tcrg-C2","OM"
"Tomm7",0.00291690334719994,-0.50414053592992,1,1,1,"Tomm7","OM"
"Rpl23",0.00295435485932066,-0.27840308932337,1,1,1,"Rpl23","OM"
"Nsg1",0.0029998692948372,-0.938032704577375,0.333,1,1,"Nsg1","OM"
"Hnrnpk",0.00308668230937112,-0.482320439430417,1,1,1,"Hnrnpk","OM"
"Cx3cr1",0.00310245637983026,1.10181392317677,1,0.333,1,"Cx3cr1","OM"
"Pim1",0.00328549632222879,-0.491019073737824,1,1,1,"Pim1","OM"
"Kit",0.0033320066280918,0.781382700318383,1,0,1,"Kit","OM"
"Rpl27",0.00334536729434369,-0.304734438975104,1,1,1,"Rpl27","OM"
"Rpl22",0.00345699162329188,-0.281916810734474,1,1,1,"Rpl22","OM"
"mt-Nd3",0.00355235101760979,-0.510504796735426,1,1,1,"mt-Nd3","OM"
"Abcb1a",0.00361952957997368,0.751441166388907,1,0,1,"Abcb1a","OM"
"Kat2a",0.00399124491677502,-0.821233382121575,0.333,1,1,"Kat2a","OM"
"Snrpf",0.00404022225693589,-0.543749456669773,1,1,1,"Snrpf","OM"
"Hmgn2",0.00416699455724878,0.987204063674395,1,1,1,"Hmgn2","OM"
"Rpl30",0.00424445956413063,-0.2979127517452,1,1,1,"Rpl30","OM"
"Sfxn2",0.00424601588720358,0.746379180123389,1,0,1,"Sfxn2","OM"
"Sgpl1",0.00437680304405438,-0.940131628769525,0.333,1,1,"Sgpl1","OM"
"Dlg4",0.00439943566255345,-0.671230667629575,0,1,1,"Dlg4","OM"
"Gm6619",0.00441988385316108,-1.51959723760037,0,1,1,"Gm6619","OM"
"Icam1",0.00447531743943916,-0.872145972017094,1,1,1,"Icam1","OM"
"Psmb8",0.00449747389459712,0.526983610370531,1,1,1,"Psmb8","OM"
"Cd9",0.00454273846337933,-0.872493896645814,1,1,1,"Cd9","OM"
"Emp3",0.0047147898045314,0.641449155288682,1,1,1,"Emp3","OM"
"Sh3bgrl3",0.00472317413643729,0.500224223890095,1,1,1,"Sh3bgrl3","OM"
"Gfy",0.00474122274599117,-0.876397875401693,0.333,1,1,"Gfy","OM"
"Snhg8",0.0049077433659483,-0.72924569004331,1,1,1,"Snhg8","OM"
"Hilpda",0.00521460938755841,-0.885997512948486,1,1,1,"Hilpda","OM"
"Mycbp",0.00535335880872987,0.716955159076417,1,0,1,"Mycbp","OM"
"Ndufa1",0.00552728575124959,-0.587726553311778,1,1,1,"Ndufa1","OM"
"Kmt2b",0.00561849853429783,0.988571530793983,1,1,1,"Kmt2b","OM"
"Ccr5",0.00572834158589555,0.958652945630234,1,1,1,"Ccr5","OM"
"Cisd1",0.00577018752240098,1.02754484789926,1,0.667,1,"Cisd1","OM"
"Sept8",0.00599441485956895,-0.643654667851865,0,1,1,"Sept8","OM"
"Rps27rt",0.00613790951478193,-0.683841831480859,1,1,1,"Rps27rt","OM"
"Cd28",0.00659850344117702,0.826900682322865,1,1,1,"Cd28","OM"
