"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mbd27",5.50188144197187e-38,1.72641264578035,0.864,0.384,1.38256778755311e-33,"29","Mbd2"
"Aurkb2",5.7818969947936e-38,4.79212852145025,0.508,0.017,1.45293289582168e-33,"29","Aurkb"
"Hist1h1d2",1.57654868129389e-37,4.04204695966781,0.5,0.034,3.96170918122341e-33,"29","Hist1h1d"
"Golim46",1.78715916461047e-37,1.80881734834864,0.663,0.182,4.49095226474965e-33,"29","Golim4"
"Maged110",1.82803501180859e-37,2.15069927622919,0.767,0.19,4.59366918117381e-33,"29","Maged1"
"Mycl",2.07290824394834e-37,4.10574386096244,0.508,0.032,5.20901112621778e-33,"29","Mycl"
"Tuba1a6",2.19653752336488e-37,1.0606714552494,1,0.632,5.51967914246361e-33,"29","Tuba1a"
"Kif5c4",2.55473194906023e-37,2.16885589159879,0.667,0.125,6.41978591479346e-33,"29","Kif5c"
"Twf14",2.88108312691291e-37,2.06864101521866,0.797,0.276,7.23987378961945e-33,"29","Twf1"
"Maz3",2.90140379469089e-37,2.30160438987498,0.727,0.163,7.29093759567874e-33,"29","Maz"
"Mex3b1",3.23167105486541e-37,3.95272071875246,0.523,0.035,8.12086619377128e-33,"29","Mex3b"
"Xpot",3.48114752531232e-37,2.84627339138703,0.589,0.095,8.74777561635732e-33,"29","Xpot"
"Hist1h2ab2",4.03097556671301e-37,5.06455503508214,0.483,0.014,1.01294385015931e-32,"29","Hist1h2ab"
"Kif2c2",4.38639242600587e-37,6.00976195204374,0.458,0.009,1.10225655273101e-32,"29","Kif2c"
"Melk1",4.56329796069208e-37,5.47301464163716,0.441,0.01,1.14671114454231e-32,"29","Melk"
"Mxi15",4.61018187823865e-37,2.02415019214058,0.775,0.243,1.15849260418259e-32,"29","Mxi1"
"Cdk5rap2",5.2868846637026e-37,2.88586451179475,0.578,0.081,1.32854124714183e-32,"29","Cdk5rap2"
"Sox49",5.77353359406782e-37,2.05175850500171,0.735,0.195,1.4508312568533e-32,"29","Sox4"
"Dusp42",5.92001253941441e-37,3.54185053306589,0.544,0.037,1.48763995102945e-32,"29","Dusp4"
"Zfp4627",6.98221374458004e-37,2.27347524487204,0.691,0.166,1.75456049187552e-32,"29","Zfp462"
"Tardbp5",8.13521897292822e-37,1.4070951113905,0.824,0.361,2.04429917570713e-32,"29","Tardbp"
"Ppib6",8.48604155071561e-37,1.29543634342958,0.987,0.824,2.13245738127933e-32,"29","Ppib"
"Apbb16",9.66839833130173e-37,1.78322696085469,0.731,0.222,2.42957181667281e-32,"29","Apbb1"
"Mad2l12",1.13116711605239e-36,3.89373796538998,0.489,0.033,2.84250984592806e-32,"29","Mad2l1"
"Kdm7a4",1.35408005488676e-36,2.01287098405946,0.758,0.236,3.40266776992495e-32,"29","Kdm7a"
"Nudcd22",1.39060577228755e-36,2.33999147712295,0.64,0.145,3.49445324518139e-32,"29","Nudcd2"
"Dach1",1.63674782224478e-36,4.43094028393968,0.517,0.024,4.11298360251891e-32,"29","Dach1"
"Brd33",1.68929872598514e-36,2.00411538021715,0.843,0.268,4.24503876852807e-32,"29","Brd3"
"Ncapg25",1.90467884228533e-36,1.54761304059714,0.837,0.293,4.7862674627788e-32,"29","Ncapg2"
"Ywhae5",1.95337829099558e-36,0.848147078262236,0.996,0.84,4.9086443074428e-32,"29","Ywhae"
"Srsf78",2.16355524872562e-36,1.27010255573879,0.956,0.52,5.4367979845226e-32,"29","Srsf7"
"Spag5",2.25649944864054e-36,5.73777121329556,0.422,0.008,5.67035746448881e-32,"29","Spag5"
"Supt165",3.69407445867559e-36,1.58994167267168,0.883,0.403,9.28283970720588e-32,"29","Supt16"
"Acer21",3.89378731248786e-36,3.21229862010003,0.525,0.059,9.78469813755074e-32,"29","Acer2"
"Ube2t1",5.40320302615175e-36,4.34205346329282,0.451,0.022,1.35777088844167e-31,"29","Ube2t"
"Cdca22",6.71189341270887e-36,5.46602908995678,0.417,0.01,1.68663169567961e-31,"29","Cdca2"
"Shcbp12",7.06496437315075e-36,5.23197552827322,0.43,0.011,1.77535489732905e-31,"29","Shcbp1"
"Pimreg",7.65069303964816e-36,6.13987539242312,0.439,0.006,1.92254265393319e-31,"29","Pimreg"
"Snrnp402",8.37753752100642e-36,2.19004267152611,0.629,0.151,2.1051914036537e-31,"29","Snrnp40"
"E2f1",1.2484014373623e-35,4.41043259598384,0.472,0.024,3.13710797194774e-31,"29","E2f1"
"Tmem2632",1.31129965039954e-35,2.77339959142543,0.633,0.12,3.295164891489e-31,"29","Tmem263"
"Chd75",1.34498254843748e-35,2.03948492922096,0.75,0.205,3.37980664596855e-31,"29","Chd7"
"Tyms2",1.38625500906802e-35,3.68823452906786,0.504,0.045,3.48352021228703e-31,"29","Tyms"
"Kif20a1",2.50640756182547e-35,5.48948429782251,0.451,0.01,6.29835156211121e-31,"29","Kif20a"
"Traf42",2.64900768824139e-35,2.45508545558905,0.517,0.099,6.65669141978179e-31,"29","Traf4"
