"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Chga",1.54226298499643e-88,2.91904280954633,1,0.309,3.87555265499752e-84,"0","Chga"
"Omp",2.43230804170991e-88,3.1302958773677,1,0.365,6.11214687801284e-84,"0","Omp"
"Jakmip1",3.66358024416461e-88,3.22429741716966,0.955,0.127,9.20621079556125e-84,"0","Jakmip1"
"Gnal",5.1676147176178e-88,3.03876604244487,1,0.343,1.29856990239018e-83,"0","Gnal"
"Olfm1",1.17615852948241e-87,3.03337005603157,0.996,0.277,2.95556876873635e-83,"0","Olfm1"
"Clgn",1.51434618640438e-87,3.03394655416868,0.974,0.134,3.80540053181557e-83,"0","Clgn"
"Stoml3",1.97191875088976e-86,3.14784509348221,1,0.381,4.95523462911087e-82,"0","Stoml3"
"Calm1",2.08175357741031e-86,2.72086732425567,1,0.959,5.23123856467436e-82,"0","Calm1"
"Syt1",2.4654320194003e-86,3.10421865829861,0.958,0.131,6.195384121551e-82,"0","Syt1"
"Nsg1",3.32199339010084e-86,2.9209844388462,0.999,0.32,8.34783718998441e-82,"0","Nsg1"
"Dcdc2a",7.64797429979597e-86,3.34335039995253,0.961,0.143,1.92185946179573e-81,"0","Dcdc2a"
"Gfy",1.13466814353715e-85,2.8613220522864,0.999,0.307,2.8513075778945e-81,"0","Gfy"
"Gng13",1.96410680614395e-85,3.11965901934886,1,0.402,4.93560399315913e-81,"0","Gng13"
"1700012B09Rik",2.44020109334902e-85,3.26852738921819,0.98,0.142,6.13198132747676e-81,"0","1700012B09Rik"
"Aplp1",2.97483951860639e-85,2.88650653657074,0.991,0.195,7.475474226306e-81,"0","Aplp1"
"Scn9a",4.3332500930613e-85,2.84745665437212,0.984,0.186,1.08890241588538e-80,"0","Scn9a"
"Stom",5.94317836046754e-85,2.84116068593775,0.996,0.252,1.49346129020189e-80,"0","Stom"
"Calm2",8.44822680638136e-85,2.21387141554085,1,0.888,2.12295491417557e-80,"0","Calm2"
"Plekhb1",8.95948622020701e-85,3.04211296124541,0.988,0.172,2.25142929227582e-80,"0","Plekhb1"
"Prxl2b",1.39277844805818e-84,2.96741547090595,0.992,0.267,3.4999129621254e-80,"0","Prxl2b"
"Gnb1",1.54461146597458e-84,2.41527285129302,1,0.672,3.88145415284751e-80,"0","Gnb1"
"Ric8b",1.89232552621985e-84,3.07439238481664,0.953,0.126,4.75522481483786e-80,"0","Ric8b"
"Fstl5",5.44151105902452e-84,2.66824121916762,1,0.341,1.36739731402227e-79,"0","Fstl5"
"Atf5",7.56519927259928e-84,2.70758506692455,0.999,0.355,1.90105892521147e-79,"0","Atf5"
"Cntn4",3.71424041420494e-83,2.88135480838435,0.952,0.133,9.3335147368556e-79,"0","Cntn4"
"Ctxn3",5.16194931219355e-83,3.30075014568708,0.961,0.117,1.29714624266112e-78,"0","Ctxn3"
"Ttll7",4.01361069821758e-82,2.73432478147478,0.992,0.257,1.0085802323551e-77,"0","Ttll7"
"Cnga2",1.26305987724622e-80,3.13674005902265,0.929,0.112,3.17394316553203e-76,"0","Cnga2"
"Acbd7",1.50962875087268e-80,3.29738002673365,0.948,0.119,3.79354608806796e-76,"0","Acbd7"
"Adcy3",4.36917983276887e-80,3.03964895089152,0.956,0.12,1.09793120017649e-75,"0","Adcy3"
"Sult1d1",4.80311444246838e-80,2.86885607550304,0.989,0.284,1.20697462824788e-75,"0","Sult1d1"
"Pcolce2",5.86649089502816e-80,3.07985996366716,0.94,0.132,1.47419049701163e-75,"0","Pcolce2"
"Tshz2",1.65834638765063e-79,2.42612609756876,0.997,0.499,4.16725863752726e-75,"0","Tshz2"
"Ckb",5.34458504606071e-79,2.64251117122864,0.999,0.517,1.3430407762246e-74,"0","Ckb"
"Tmem74bos",2.62648218565878e-78,3.24980570830717,0.927,0.11,6.60008708434195e-74,"0","Tmem74bos"
"Umodl1",2.64703232829859e-78,2.96875628303907,0.952,0.114,6.65172753778152e-74,"0","Umodl1"
"Flrt1",9.84031046255223e-78,2.75662006975266,0.962,0.154,2.47277161613475e-73,"0","Flrt1"
"Tom1",2.44621571337584e-77,3.22283380630652,0.922,0.133,6.14709546614215e-73,"0","Tom1"
"Tspyl4",4.61652246408101e-77,2.95566127589015,0.917,0.144,1.16008592999892e-72,"0","Tspyl4"
"Nrn1l",4.94325705277666e-76,3.4151590805472,0.942,0.106,1.24219106479225e-71,"0","Nrn1l"
"Pde6d",1.07060434396714e-75,2.86084835670265,0.918,0.179,2.69032165595503e-71,"0","Pde6d"
"Spef2",1.5432001734606e-75,3.10021628143817,0.941,0.123,3.87790771588915e-71,"0","Spef2"
"Serpine2",3.58400671317324e-75,2.60674634646746,0.986,0.267,9.00625046953304e-71,"0","Serpine2"
"Ncam1",1.16144900774765e-73,2.27068360858556,0.989,0.286,2.91860521156906e-69,"0","Ncam1"
"Eef1a2",2.05288318644203e-73,3.07305258811734,0.814,0.103,5.15869015921018e-69,"0","Eef1a2"
"Faim2",4.29884557793079e-73,3.32361514444194,0.898,0.103,1.08025690527823e-68,"0","Faim2"
"Myo6",5.49771952382401e-72,2.48705873780164,0.978,0.367,1.38152193914174e-67,"0","Myo6"
"Trnp1",2.5370141250843e-71,2.91174194173067,0.891,0.138,6.37526279492434e-67,"0","Trnp1"
"Cmip",2.73285042948412e-71,2.48993069758592,0.969,0.376,6.86737984425064e-67,"0","Cmip"
"Fgf12",2.84673729134313e-71,3.10592882972453,0.906,0.116,7.15356613941615e-67,"0","Fgf12"
"Fam81b",3.52881096326724e-71,3.36572877960522,0.86,0.097,8.86754906959424e-67,"0","Fam81b"
"Tspan7",4.40653296757327e-71,3.0516831246318,0.923,0.14,1.10731766942149e-66,"0","Tspan7"
"Igsf8",9.36690175608067e-71,2.61271328444884,0.952,0.199,2.35380874228551e-66,"0","Igsf8"
"Pde4a",3.61914857896318e-70,2.89033743320167,0.877,0.13,9.09455846407658e-66,"0","Pde4a"
"Aplp2",5.11922185590807e-70,1.76508336016663,0.998,0.757,1.28640926017114e-65,"0","Aplp2"
"Klhl5",6.05891486664599e-70,2.73969242689456,0.887,0.167,1.52254471683947e-65,"0","Klhl5"
"Gm11992",7.66868209152311e-70,3.45129135245548,0.772,0.082,1.92706312277884e-65,"0","Gm11992"
"Snap25",8.88210097585554e-69,3.0173093049554,0.858,0.114,2.23198315422274e-64,"0","Snap25"
"Ak1",3.08140799665519e-68,3.07702905143203,0.91,0.131,7.74327015479482e-64,"0","Ak1"
"Rtn1",3.21184652282551e-68,2.5310075643029,0.97,0.249,8.07104912720823e-64,"0","Rtn1"
"Oscp1",8.1720887860357e-68,3.02501288589267,0.859,0.119,2.05356419104291e-63,"0","Oscp1"
"Cystm1",9.24831745688057e-68,2.14932674876621,0.982,0.364,2.32400969373952e-63,"0","Cystm1"
"Impdh1",1.14782043004482e-67,2.83214197747451,0.848,0.139,2.88435795865963e-63,"0","Impdh1"
"Cfap69",2.72089908344979e-67,2.97220776145347,0.905,0.127,6.83734730680097e-63,"0","Cfap69"
"Gramd1c",2.74690541232325e-67,2.89959782285933,0.853,0.115,6.90269861062709e-63,"0","Gramd1c"
"Acsl6",3.07635389528963e-67,3.00436867926205,0.852,0.11,7.73056970347332e-63,"0","Acsl6"
"Slc17a6",7.76820427087157e-67,3.10129204954423,0.775,0.097,1.95207205122732e-62,"0","Slc17a6"
"Manea",1.49038382245148e-66,2.81063616448259,0.86,0.128,3.74518550743832e-62,"0","Manea"
"Kcnc4",1.99059245026767e-66,3.09713651200075,0.847,0.097,5.00215976827763e-62,"0","Kcnc4"
"Map1b",2.33974164573333e-66,2.09826537507889,0.999,0.531,5.87953678156329e-62,"0","Map1b"
"Cartpt",3.22709887103135e-66,3.50142800043915,0.794,0.089,8.10937675301468e-62,"0","Cartpt"
"Hist2h2be",6.76474673365171e-66,2.93063198161188,0.838,0.127,1.69991320669934e-61,"0","Hist2h2be"
"Rtp1",1.76501705219299e-65,3.07050205854117,0.803,0.104,4.43531135045576e-61,"0","Rtp1"
"Uchl1",4.49021143441091e-65,2.44784601729549,0.957,0.171,1.12834523135312e-60,"0","Uchl1"
"Pde1c",4.56179468077318e-65,2.63054639948936,0.868,0.159,1.14633338533149e-60,"0","Pde1c"
"S100a5",6.53536544583516e-65,3.38847150107028,0.933,0.389,1.64227198288392e-60,"0","S100a5"
"Rab3a",8.55132428699362e-65,2.81221160428039,0.832,0.143,2.14886228007863e-60,"0","Rab3a"
"Rab6b",1.072175743256e-64,2.71919744123481,0.899,0.169,2.694270425228e-60,"0","Rab6b"
"Cngb1",1.43698088280724e-64,3.03413801614174,0.787,0.094,3.61098926040631e-60,"0","Cngb1"
"Tesc",5.47625570765801e-64,2.25373963332516,0.92,0.177,1.37612829677738e-59,"0","Tesc"
"Ebf2",1.31289337945084e-63,2.39080458984294,0.942,0.159,3.29916977322201e-59,"0","Ebf2"
"Ttll6",1.35409506074134e-63,3.0075536780967,0.813,0.106,3.40270547813692e-59,"0","Ttll6"
"Elavl3",1.56412182097468e-63,2.48723629192202,0.958,0.161,3.93048172392728e-59,"0","Elavl3"
"Rtp2",2.87534135600587e-63,3.1095202563513,0.8,0.103,7.22544529350715e-59,"0","Rtp2"
"Nrxn1",2.94485079580312e-63,2.63987076125256,0.933,0.191,7.40011556477366e-59,"0","Nrxn1"
"Lrriq1",6.09682508840231e-63,2.87853786209694,0.851,0.122,1.53207117646462e-58,"0","Lrriq1"
"Rufy3",1.13843323751655e-62,2.59779657526941,0.927,0.187,2.86076888255533e-58,"0","Rufy3"
"Mgst3",1.3910897914958e-62,2.08920185331683,0.963,0.333,3.49566953704981e-58,"0","Mgst3"
"Clstn2",1.69147607607575e-62,3.00498871644753,0.757,0.098,4.25051023157075e-58,"0","Clstn2"
"Lrguk",3.05053237374598e-62,3.07029638884124,0.791,0.1,7.66568280198626e-58,"0","Lrguk"
"Tuba1a",4.30307607440307e-62,2.12436442460383,0.999,0.528,1.08131998673675e-57,"0","Tuba1a"
"Abhd16a",4.34151351573648e-62,2.49108162093198,0.87,0.216,1.09097893136942e-57,"0","Abhd16a"
"Cfap36",5.10599667847255e-62,2.49097601474646,0.939,0.247,1.28308590533337e-57,"0","Cfap36"
"Stmn3",7.71304432762273e-62,2.44008716675253,0.89,0.138,1.93821090908831e-57,"0","Stmn3"
"Tubb4b",1.31767726538387e-61,1.82362295275649,0.991,0.685,3.31119120018314e-57,"0","Tubb4b"
"Carns1",1.58738278484152e-61,3.04456699894247,0.796,0.102,3.98893420002826e-57,"0","Carns1"
"Fam131c",2.40071935315631e-61,3.16712121113825,0.801,0.098,6.03276766254648e-57,"0","Fam131c"
"Ip6k2",3.30027366500153e-61,2.75271830054254,0.845,0.166,8.29325769278235e-57,"0","Ip6k2"
"Fam92b",3.62973553143119e-61,2.9767829417662,0.821,0.113,9.12116241693345e-57,"0","Fam92b"
"Cacnb3",6.16826653596668e-61,3.09171249660642,0.752,0.105,1.55002369782307e-56,"0","Cacnb3"
"Atp1b1",8.60674517712682e-61,1.64322474268476,0.998,0.644,2.1627889955602e-56,"0","Atp1b1"
"Efna3",1.26144339397663e-60,3.16108735763063,0.799,0.107,3.16988110472388e-56,"0","Efna3"
"Faim",1.5985745834132e-60,2.34219616855199,0.856,0.209,4.01705807065904e-56,"0","Faim"
"Syt11",3.14460381249646e-60,2.53440150062949,0.908,0.165,7.90207492042235e-56,"0","Syt11"
"Rap1gds1",7.44235979108198e-60,2.44319562088752,0.867,0.208,1.87019059190099e-55,"0","Rap1gds1"
"Fetub",1.19062735743231e-59,2.2468356754859,0.882,0.2,2.99192748649165e-55,"0","Fetub"
"Mapk8ip2",1.72244357879362e-59,2.79949336908735,0.814,0.12,4.32832846915049e-55,"0","Mapk8ip2"
"Sgpl1",2.53345491294494e-59,2.45914232522645,0.887,0.221,6.36631885073935e-55,"0","Sgpl1"
"Gadl1",3.35864072318574e-59,3.16217330666285,0.698,0.084,8.43992827329344e-55,"0","Gadl1"
"Cnga4",8.22512386744111e-59,3.18447381932687,0.797,0.089,2.06689137664928e-54,"0","Cnga4"
"Ormdl3",1.06986867849257e-58,2.40695447281552,0.878,0.241,2.68847300218399e-54,"0","Ormdl3"
"Fam217a",1.53673168467644e-58,3.16914549138762,0.729,0.09,3.86165305042343e-54,"0","Fam217a"
"Eml2",1.56318037848103e-58,2.82449027409247,0.837,0.151,3.92811597308497e-54,"0","Eml2"
"Them6",2.73102152392249e-58,3.09537635520694,0.839,0.118,6.86278398746483e-54,"0","Them6"
"BC049352",7.07518134731207e-58,2.87589809258587,0.73,0.105,1.77792232076605e-53,"0","BC049352"
"Prnp",8.08849872086292e-58,2.33158963677362,0.91,0.239,2.03255884356564e-53,"0","Prnp"
"Epha5",2.80672958941542e-57,2.60458172883183,0.794,0.146,7.05303078524202e-53,"0","Epha5"
"Mycbp",6.93950693603803e-57,2.47814354129359,0.82,0.188,1.743828697957e-52,"0","Mycbp"
"Arl3",1.04477315283367e-56,2.27790351471769,0.917,0.281,2.62541045575573e-52,"0","Arl3"
"Ank2",1.5977851303299e-56,2.47161625970209,0.86,0.159,4.015074254006e-52,"0","Ank2"
"Nat14",1.6826797093109e-56,3.08825332634163,0.729,0.097,4.22840584152737e-52,"0","Nat14"
"Ebf3",1.76219270784907e-56,2.31342971169451,0.869,0.152,4.42821405555392e-52,"0","Ebf3"
"Ppa1",3.59287242386091e-56,2.49466007386139,0.872,0.308,9.02852911392009e-52,"0","Ppa1"
"Tarsl2",4.84334761303848e-56,2.93739661465894,0.729,0.107,1.21708482168044e-51,"0","Tarsl2"
"Chchd10",5.54368315801539e-56,1.74380180886622,0.982,0.482,1.39307214077769e-51,"0","Chchd10"
"Ppp1r14c",7.28427031444272e-56,2.92967013271395,0.754,0.108,1.83046428731631e-51,"0","Ppp1r14c"
"Enkur",1.03504996744551e-55,2.95004899434116,0.749,0.1,2.60097706319382e-51,"0","Enkur"
"Rsph9",1.57838535552245e-55,2.73345030657503,0.765,0.13,3.96632455989238e-51,"0","Rsph9"
"Traf3ip1",4.24503293903348e-55,2.56923121241947,0.767,0.144,1.06673432724972e-50,"0","Traf3ip1"
"Ano2",5.0822951614097e-55,3.07268340016414,0.759,0.09,1.27712995111064e-50,"0","Ano2"
"Rd3",6.47130680218023e-55,2.94274041237184,0.749,0.105,1.62617468631987e-50,"0","Rd3"
"Hmgn3",1.56632872291148e-54,1.99538259657851,0.95,0.384,3.93602744780427e-50,"0","Hmgn3"
"Pex5l",2.20826120911581e-54,3.04307782496458,0.744,0.1,5.54913959238712e-50,"0","Pex5l"
"Slc1a2",2.69823614204509e-54,3.15816509189074,0.745,0.084,6.78039760134512e-50,"0","Slc1a2"
"Prrc2b",2.82127920986781e-54,1.63217238377604,0.916,0.398,7.08959252647683e-50,"0","Prrc2b"
"Efcab10",4.89084526021706e-54,2.82231975358282,0.728,0.1,1.22902050543995e-49,"0","Efcab10"
"Gpm6a",4.92035359689974e-54,2.46882417397951,0.84,0.172,1.23643565536493e-49,"0","Gpm6a"
"Rundc3a",7.94660143673263e-54,2.87798078093072,0.692,0.102,1.99690147503654e-49,"0","Rundc3a"
"Saraf",8.07931075257631e-54,1.6953073312042,0.97,0.521,2.0302499990149e-49,"0","Saraf"
"Uncx",2.49795704099082e-53,2.46974672548549,0.842,0.129,6.27711624830584e-49,"0","Uncx"
"Prxl2a",2.66205294766593e-53,2.30847418784723,0.849,0.225,6.68947285218971e-49,"0","Prxl2a"
"Ldhb",2.6704130402807e-53,1.50606081442535,0.959,0.429,6.71048092892137e-49,"0","Ldhb"
"Strbp",3.73087675058231e-53,1.93491594025952,0.926,0.335,9.3753201865383e-49,"0","Strbp"
"A730046J19Rik",4.00939350602254e-53,3.25673379923626,0.701,0.079,1.0075204941284e-48,"0","A730046J19Rik"
"Ppp1r1a",4.01382196754675e-53,2.7218215306381,0.716,0.119,1.00863332222482e-48,"0","Ppp1r1a"
"Tstd1",5.0295109648267e-53,3.07393535054672,0.731,0.096,1.2638658103513e-48,"0","Tstd1"
"AC109619.1",8.889113748936e-53,2.77593634742369,0.683,0.1,2.23374539397013e-48,"0","AC109619.1"
"Ttc21a",1.27025022336683e-52,2.89076134223221,0.693,0.096,3.1920117862985e-48,"0","Ttc21a"
"Ivns1abp",2.1023331808277e-52,1.93498428737378,0.906,0.326,5.28295305010193e-48,"0","Ivns1abp"
"Spock1",2.2011972815518e-52,2.62683567431684,0.789,0.124,5.53138864881153e-48,"0","Spock1"
"Abca5",3.6918777119845e-52,2.57297123946598,0.719,0.134,9.27731950244584e-48,"0","Abca5"
"Pkib",5.56310756375131e-52,2.4142191043131,0.784,0.163,1.39795329969507e-47,"0","Pkib"
"Ift43",6.42718951744363e-52,2.32823235048583,0.874,0.219,1.61508845383841e-47,"0","Ift43"
"Msi2",8.22439691451913e-52,1.69188300182546,0.965,0.505,2.06670870064951e-47,"0","Msi2"
"Nxnl2",1.64901221609167e-51,3.25851667207363,0.64,0.075,4.14380279781676e-47,"0","Nxnl2"
"Snca",1.80656107347242e-51,2.86592576622913,0.74,0.112,4.53970732152883e-47,"0","Snca"
"Zfp385b",2.48935265174479e-51,3.04351512474531,0.735,0.1,6.25549427856949e-47,"0","Zfp385b"
"Slc24a2",4.27447636720123e-51,2.8055207357461,0.733,0.108,1.074133166314e-46,"0","Slc24a2"
"Kif5b",5.54171253240968e-51,1.1863091444458,0.983,0.785,1.39257694226923e-46,"0","Kif5b"
"Pafah1b1",7.43659179815861e-51,1.3327871746364,0.984,0.75,1.86874115295928e-46,"0","Pafah1b1"
"Ndufv3",1.0446535187283e-50,1.66485250034599,0.965,0.598,2.62510982721234e-46,"0","Ndufv3"
"Ephx4",1.1797058980319e-50,3.24530538110866,0.71,0.083,2.96448295116436e-46,"0","Ephx4"
"Dnajb14",2.1575667750215e-50,2.1516552094675,0.874,0.27,5.42174954895154e-46,"0","Dnajb14"
"Mlf1",2.45763876168184e-50,2.52331964791788,0.831,0.135,6.1758004442303e-46,"0","Mlf1"
"Kif1a",5.33645567458669e-50,2.59157898851323,0.725,0.118,1.34099794646689e-45,"0","Kif1a"
"Agtpbp1",6.1885314590434e-50,2.4091257824165,0.767,0.165,1.55511607034302e-45,"0","Agtpbp1"
"Scg5",3.19271999153852e-49,2.86790071123806,0.705,0.104,8.02298606673715e-45,"0","Scg5"
"Aig1",3.91634067337238e-49,2.19599994761516,0.815,0.229,9.84137247811745e-45,"0","Aig1"
"Celf4",5.05217329726862e-49,3.00494514263645,0.664,0.097,1.26956062787063e-44,"0","Celf4"
"Ahi1",6.61977029397609e-49,2.24561769915282,0.835,0.203,1.66348207717325e-44,"0","Ahi1"
"Clstn1",9.55542153509154e-49,1.90634094729226,0.901,0.321,2.40118187755315e-44,"0","Clstn1"
"Nxph3",2.54655840253904e-48,3.08294375420532,0.672,0.09,6.39924660974036e-44,"0","Nxph3"
"Gm13648",2.59254765960409e-48,2.38134974273023,0.699,0.122,6.51481301381913e-44,"0","Gm13648"
"Ssx2ip",3.39873620438574e-48,2.3899907141705,0.819,0.2,8.54068420800091e-44,"0","Ssx2ip"
"Adipor1",3.44409594329138e-48,1.77246902936007,0.94,0.439,8.65466869589691e-44,"0","Adipor1"
"Lhx2",5.16785227766567e-48,1.97955004028926,0.88,0.143,1.29862959885461e-43,"0","Lhx2"
"Id4",8.66674704143925e-48,2.22307197391754,0.851,0.184,2.17786686404327e-43,"0","Id4"
"Ptp4a3",1.03120119351429e-47,2.05770568558248,0.865,0.228,2.59130547918207e-43,"0","Ptp4a3"
"Atxn7l3b",1.04678971508717e-47,1.33541541729654,0.972,0.669,2.63047787504256e-43,"0","Atxn7l3b"
"1110017D15Rik",1.41186732260798e-47,2.71084200948116,0.701,0.099,3.5478813949816e-43,"0","1110017D15Rik"
"Hint1",1.46906174930657e-47,1.31386200022966,0.995,0.878,3.69160526983248e-43,"0","Hint1"
"Ube2s",2.27533863161575e-47,1.58648882648729,0.985,0.612,5.71769844738721e-43,"0","Ube2s"
"Pgam1",3.19695202347404e-47,1.57124304760855,0.938,0.46,8.03362073978791e-43,"0","Pgam1"
"Pygo1",6.90748732676098e-47,2.73931459200436,0.756,0.126,1.73578249034177e-42,"0","Pygo1"
"Kirrel2",8.68322461626474e-47,2.97355099895897,0.621,0.08,2.18200751382117e-42,"0","Kirrel2"
"Ift74",1.7795541752985e-46,2.45062969298757,0.808,0.175,4.4718416871076e-42,"0","Ift74"
"Myt1l",1.93279614663838e-46,2.24471145834142,0.806,0.132,4.85692343688758e-42,"0","Myt1l"
"Elmod3",2.24717385066174e-46,2.89667181731744,0.709,0.105,5.64692316932789e-42,"0","Elmod3"
"Atp1a1",2.55597119219406e-46,1.19202601774581,0.991,0.756,6.42290000886446e-42,"0","Atp1a1"
"BC051077",2.91923456115946e-46,3.05260537238916,0.598,0.078,7.33574452873761e-42,"0","BC051077"
"Fmn2",3.28031325657223e-46,2.89467261678187,0.693,0.101,8.24309918244035e-42,"0","Fmn2"
"Homer2",4.09744887680953e-46,2.03628738136642,0.826,0.183,1.02964792825347e-41,"0","Homer2"
"Spef1",7.23352578911129e-46,2.93472256598417,0.688,0.099,1.81771269554578e-41,"0","Spef1"
"Camk2d",1.10105935900829e-45,1.96109527025463,0.905,0.298,2.76685206325194e-41,"0","Camk2d"
"Wdsub1",1.58330768875932e-45,2.48138417827749,0.735,0.154,3.97869389108329e-41,"0","Wdsub1"
"Hsp90ab1",1.83884403127541e-45,0.80215428210854,1,0.988,4.62083116619198e-41,"0","Hsp90ab1"
"Fam13a",1.93844981060531e-45,2.79480374019619,0.728,0.12,4.87113052907009e-41,"0","Fam13a"
"Tubb3",2.12270914332617e-45,2.0656856293202,0.789,0.131,5.33415580626433e-41,"0","Tubb3"
"Ndufa4",2.27015770024346e-45,1.02614539096363,0.997,0.885,5.7046792849418e-41,"0","Ndufa4"
"Selenot",2.51278211665925e-45,1.98007046388072,0.911,0.351,6.31437018095302e-41,"0","Selenot"
"Endod1",2.84575257271566e-45,2.26421244551002,0.833,0.204,7.15109163997718e-41,"0","Endod1"
"Stmn4",4.06564001883443e-45,3.05754606301813,0.709,0.096,1.0216546803329e-40,"0","Stmn4"
"Pifo",4.34415566093216e-45,2.93469511177892,0.699,0.091,1.09164287603564e-40,"0","Pifo"
"Gdap1",4.75448223897462e-45,2.77042048310934,0.635,0.096,1.19475384183193e-40,"0","Gdap1"
"Erich3",5.18937333038433e-45,3.00409431796164,0.627,0.082,1.30403762419228e-40,"0","Erich3"
"Plxna4",5.46949736558588e-45,2.41891903964123,0.706,0.126,1.37442999299807e-40,"0","Plxna4"
"Spa17",7.36701021530095e-45,2.65292054940905,0.754,0.126,1.85125599700298e-40,"0","Spa17"
"Pkia",7.5674516249738e-45,2.80643597657951,0.715,0.113,1.90162491883967e-40,"0","Pkia"
"Mapk8ip1",8.21814619763269e-45,2.48869448494778,0.637,0.119,2.06513795800312e-40,"0","Mapk8ip1"
"Rab6a",1.05933364275407e-44,1.76712448759778,0.858,0.324,2.6619995108767e-40,"0","Rab6a"
"Pth2",1.18351225328646e-44,3.5207213342349,0.587,0.059,2.97404794128354e-40,"0","Pth2"
"Ttll3",1.9899364986657e-44,2.74304004684906,0.679,0.103,5.00051142749705e-40,"0","Ttll3"
"Tspan3",4.79215904579522e-44,1.94258183048773,0.895,0.313,1.20422164661788e-39,"0","Tspan3"
"Rnf128",1.12397094727392e-43,2.70031086399112,0.729,0.13,2.82442659340464e-39,"0","Rnf128"
"Dzip1l",1.49170677327027e-43,2.72402183796121,0.677,0.106,3.74850995055086e-39,"0","Dzip1l"
"Cfap20",2.10218781662034e-43,2.1131843138018,0.829,0.25,5.28258776438526e-39,"0","Cfap20"
"Pkm",2.10772191350213e-43,0.93931775030144,0.979,0.725,5.29649439643951e-39,"0","Pkm"
"Rabgap1l",4.09606626959983e-43,1.93954635778304,0.786,0.232,1.02930049288774e-38,"0","Rabgap1l"
"5730403I07Rik",5.65890390245211e-43,3.05671192401853,0.619,0.083,1.42202596164719e-38,"0","5730403I07Rik"
"Pak3",1.20468823025352e-42,2.90197762486693,0.674,0.097,3.02726105380406e-38,"0","Pak3"
"Syt7",1.59653488188961e-42,2.56573047490037,0.646,0.104,4.01193250470041e-38,"0","Syt7"
"Cplx2",2.3453065510893e-42,2.71099862017102,0.735,0.118,5.8935208322323e-38,"0","Cplx2"
"Iqub",6.95521595409184e-42,3.08788538436978,0.598,0.074,1.74777621710374e-37,"0","Iqub"
"Cfap126",7.29029653569604e-42,2.91068385571853,0.591,0.074,1.83197861645506e-37,"0","Cfap126"
"Kifap3",7.9891627784552e-42,2.22218211996799,0.818,0.208,2.00759671459801e-37,"0","Kifap3"
"Slc8a1",1.03361712352648e-41,2.57053856007685,0.686,0.13,2.59737646970969e-37,"0","Slc8a1"
"Dynll2",1.23310300270201e-41,1.63963498955155,0.916,0.4,3.09866453548987e-37,"0","Dynll2"
"Stmn2",1.31711666795866e-41,1.07928832631792,0.786,0.14,3.30978247491332e-37,"0","Stmn2"
"Ppp2r2c",1.47701602605266e-41,3.04936718012524,0.584,0.072,3.71159357186772e-37,"0","Ppp2r2c"
"Gabbr2",1.7885201766e-41,2.90823894416431,0.521,0.07,4.49437235177813e-37,"0","Gabbr2"
"Lrrn1",2.21769908315259e-41,2.79928971837916,0.615,0.088,5.57285602605413e-37,"0","Lrrn1"
"Tmbim6",2.53019138947138e-41,1.37235146561523,0.972,0.844,6.35811794260264e-37,"0","Tmbim6"
"Ksr2",3.97512779088442e-41,2.77474768614531,0.577,0.087,9.98909862571346e-37,"0","Ksr2"
"Riiad1",5.13841906289527e-41,2.79539932063923,0.636,0.086,1.29123332631495e-36,"0","Riiad1"
"Sgtb",5.16736661754041e-41,2.85635656618314,0.655,0.093,1.29850755732173e-36,"0","Sgtb"
"Rab28",5.44907794265628e-41,2.20687873536693,0.734,0.19,1.3692987962101e-36,"0","Rab28"
"Map1a",6.74107886020223e-41,2.66391249693893,0.671,0.115,1.69396570678022e-36,"0","Map1a"
"Rp2",9.61629444441159e-41,2.36120423207766,0.729,0.168,2.41647863093619e-36,"0","Rp2"
"Gnao1",1.07087259788851e-40,2.34383187145051,0.77,0.158,2.69099575123404e-36,"0","Gnao1"
"Mdh1",1.12071373049914e-40,1.22578063948544,0.952,0.641,2.8162415333713e-36,"0","Mdh1"
"Cdkl4",3.02765258479237e-40,2.96535930917269,0.631,0.085,7.60818818032475e-36,"0","Cdkl4"
"Ccdc39",3.60741663936331e-40,2.69936618662502,0.675,0.102,9.06507727305606e-36,"0","Ccdc39"
"Gabarapl2",4.203911470646e-40,1.35615516220284,0.961,0.612,1.05640091345863e-35,"0","Gabarapl2"
"Ndrg3",5.41347307030339e-40,2.19740650516901,0.645,0.153,1.36035164783654e-35,"0","Ndrg3"
"Stxbp5l",7.57012938032448e-40,3.05728640224595,0.621,0.079,1.90229781198174e-35,"0","Stxbp5l"
"Scn4b",1.47337601112329e-39,3.05161694612734,0.536,0.065,3.70244657835171e-35,"0","Scn4b"
"Mapk10",1.536346409945e-39,2.75152291000552,0.652,0.1,3.8606848935508e-35,"0","Mapk10"
"BC031181",1.791006548081e-39,1.42799759579167,0.893,0.443,4.50062035467275e-35,"0","BC031181"
"Rufy2",2.23651031354004e-39,2.33262217398149,0.72,0.159,5.62012676689477e-35,"0","Rufy2"
"1700016K19Rik",4.67260444765726e-39,2.83166474756366,0.632,0.085,1.17417877165179e-34,"0","1700016K19Rik"
"Wdr54",1.08095435326752e-38,3.00863308652361,0.578,0.077,2.71633019432595e-34,"0","Wdr54"
"Meig1",1.19930903097961e-38,2.81882454640054,0.574,0.075,3.01374366394867e-34,"0","Meig1"
"Lias",1.33418717264032e-38,2.11312032790897,0.669,0.175,3.35267894612785e-34,"0","Lias"
