"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","tissue"
"Atf5",0.00472324257837941,1.30852655169385,1,1,1,"Atf5","LNG"
"Gm8369",0.00482622304072538,-1.71563533096052,0.333,1,1,"Gm8369","LNG"
"Trim56",0.00486829448353669,-1.41954950005365,0,1,1,"Trim56","LNG"
"Pet100",0.00489132653560494,-1.39876180834124,1,1,1,"Pet100","LNG"
"Dhx30",0.00505188332692447,-1.44405035218212,0,1,1,"Dhx30","LNG"
"Atp5k",0.00522773069570887,1.07070220395175,1,1,1,"Atp5k","LNG"
"Htra2",0.00524534389110684,-1.38417112795112,0,1,1,"Htra2","LNG"
"Zfp36l2",0.00550467590508694,-0.866612105467226,1,1,1,"Zfp36l2","LNG"
"Ldhb",0.00575780552340884,1.4448819147023,1,1,1,"Ldhb","LNG"
"Aprt",0.00589740107243029,1.59060030985944,1,0.667,1,"Aprt","LNG"
"Taf1d",0.00615433326847761,-1.6590250288589,0.333,1,1,"Taf1d","LNG"
"Rpl35a",0.00621517046587131,-0.246010378449226,1,1,1,"Rpl35a","LNG"
"Emg1",0.00629206498766898,-1.30092212573677,1,1,1,"Emg1","LNG"
"Tiparp",0.00629892603721693,-1.58733867955207,0.333,1,1,"Tiparp","LNG"
"Mup4",0.00637474836749753,2.6205760487499,1,0.333,1,"Mup4","LNG"
"Tox4",0.00642917029031428,-1.61437098062724,0.333,1,1,"Tox4","LNG"
"Psip1",0.00653020848006466,1.22677614370745,1,1,1,"Psip1","LNG"
"Hist1h4d",0.00664186155618271,1.50211524572736,1,1,1,"Hist1h4d","LNG"
"Igfbp4",0.00677641929763613,-1.31990162058861,0,1,1,"Igfbp4","LNG"
"App",0.00679272764176937,1.27467271149081,1,1,1,"App","LNG"
"Sharpin",0.00704424054003542,-1.31155522199876,0,1,1,"Sharpin","LNG"
"Sub1",0.00712074865260566,0.713733005599816,1,1,1,"Sub1","LNG"
"Ifitm3",0.00752538603897591,1.51126270502409,1,1,1,"Ifitm3","LNG"
"Klhdc10",0.00755478790753487,-1.41176164015344,0,1,1,"Klhdc10","LNG"
"Rab14",0.00788517438639206,1.40106749316768,1,1,1,"Rab14","LNG"
"Id2",0.00797437906401077,-0.748366210265999,1,1,1,"Id2","LNG"
"Hnrnpm",0.00839999958870558,1.02333135758053,1,1,1,"Hnrnpm","LNG"
"Tia1",0.008497767954622,-1.62313603661002,0.333,1,1,"Tia1","LNG"
"Ehmt1",0.00851028678444451,-1.27991789195352,0,1,1,"Ehmt1","LNG"
"Parg",0.00858404641821907,-1.29760044778975,0,1,1,"Parg","LNG"
"Mink1",0.00862268299091744,-1.30316025602164,0,1,1,"Mink1","LNG"
"Ptms",0.00877152795615306,1.15554711260039,1,1,1,"Ptms","LNG"
"Dbt",0.00888653011592392,-1.27904395665499,0,1,1,"Dbt","LNG"
"Cd3g",0.00889716170193099,-0.646565854858088,1,1,1,"Cd3g","LNG"
"Thy1",0.00896493828897487,-0.876840584287836,1,1,1,"Thy1","LNG"
"Tcf7",0.00905149110936046,-1.36495573013577,0.667,1,1,"Tcf7","LNG"
"Trac",0.00914178342134768,-0.864317759898978,1,1,1,"Trac","LNG"
"Gnal",0.00922004212812105,1.21043431864809,1,1,1,"Gnal","LNG"
"Gnpnat1",0.00942786748776753,-1.35132969511596,0,1,1,"Gnpnat1","LNG"
"Tshz2",0.00965251964988488,1.23706898559667,1,1,1,"Tshz2","LNG"
"St3gal6",0.00970321346489012,-1.49305719770433,0.667,1,1,"St3gal6","LNG"
"Zc3h7a",0.00996376994033306,-1.47710023226651,0.333,1,1,"Zc3h7a","LNG"
"Rpl36a",0.0101517308441624,-0.363614193018566,1,1,1,"Rpl36a","LNG"
"Nudc",0.0102325292531991,1.08804583645031,1,1,1,"Nudc","LNG"
"Ndufa7",0.0103396713463851,0.894862951946879,1,1,1,"Ndufa7","LNG"
"Ywhae",0.0104462661092003,1.00205724718709,1,1,1,"Ywhae","LNG"
