"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0140236","translation at presynapse",47,-0.596675902430424,-2.30587960966905,1.11413393808099e-06,0.0029329225071271,0.0027360875519008,2716,"tags=55%, list=23%, signal=43%","26451/268449/67891/19941/20088/19989/20055/27176/100503670/19951/57808/20042/65019/19934/67186/267019/19942/68436/27370/54217/67281/19982/19981/54127/57294/67671"
"GO:0140241","translation at synapse",48,-0.587481378141067,-2.27250184627192,1.66265448249835e-06,0.0029329225071271,0.0027360875519008,2716,"tags=54%, list=23%, signal=42%","26451/268449/67891/19941/20088/19989/20055/27176/100503670/19951/57808/20042/65019/19934/67186/267019/19942/68436/27370/54217/67281/19982/19981/54127/57294/67671"
"GO:0140242","translation at postsynapse",48,-0.587481378141067,-2.27250184627192,1.66265448249835e-06,0.0029329225071271,0.0027360875519008,2716,"tags=54%, list=23%, signal=42%","26451/268449/67891/19941/20088/19989/20055/27176/100503670/19951/57808/20042/65019/19934/67186/267019/19942/68436/27370/54217/67281/19982/19981/54127/57294/67671"
"GO:0007606","sensory perception of chemical stimulus",24,-0.70422932220968,-2.32304365090573,1.18475328774206e-05,0.0156742859968275,0.014622349788185,1068,"tags=50%, list=9%, signal=46%","53625/628991/235380/59030/16440/18796/18249/14688/100039953/18378/14680/64337"
"GO:0045598","regulation of fat cell differentiation",104,-0.423749518022986,-1.88846112655055,2.70953595532403e-05,0.0286777285511496,0.0267531023799362,1516,"tags=26%, list=13%, signal=23%","68667/17127/19015/50722/50721/22433/68750/235320/53322/81703/12006/12162/75302/26383/223435/12156/64010/20656/19885/22695/19225/12608/18712/12193/12192/15205/19883"
"GO:0035902","response to immobilization stress",17,-0.740496185206564,-2.28168271145874,4.5253803460244e-05,0.0399138546519352,0.0372351470576393,546,"tags=47%, list=5%, signal=45%","56356/56484/13870/17246/20656/76893/14281/18619"
